group	OL_type	Matsliah_type	Schlegel_type	hemibrain_type	OL	Matsliah	Schlegel_L	Schlegel_R	matched as	URL	OL_transmitter_pred	FW_transmitter_pred	Notes
OL_connecting	Am1	Am1	Am1	NA	1	1	1	1	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Am1.json	gaba	gaba	NA
OL_connecting	aMe6c	NA	NA	NA	1	NA	NA	NA	unmatched	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/aMe6c.json	glutamate	NA	"FlyWire v783 ids are 720575940615928386,720575940620225585,720575940632527683. The first two are now joined together as a single object: 720575940617876054. NT pred also matches."
OL_connecting	C2	C2	C2	NA	874	743	723	733	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/C2.json	gaba	gaba	NA
OL_connecting	C3	C3	C3	NA	892	768	699	761	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/C3.json	gaba	gaba	NA
OL_connecting	CT1	CT1	CT1	CT1	1	1	1	1	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/CT1.json	gaba	gaba	NA
OL_connecting	L1	L1	L1	NA	892	793	789	791	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/L1.json	glutamate	glutamate	NA
OL_connecting	L2	L2	L2	NA	893	792	766	790	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/L2.json	acetylcholine	acetylcholine	NA
OL_connecting	L3	L3	L3	NA	892	737	680	727	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/L3.json	acetylcholine	acetylcholine	NA
OL_connecting	L4	L4	L4	NA	891	724	659	739	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/L4.json	acetylcholine	acetylcholine	NA
OL_connecting	L5	L5	L5	NA	898	783	820	786	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/L5.json	acetylcholine	acetylcholine	NA
